#,code,nom,date_mise_service,date_fin_service,quartier_code
1,87003,Lunaire3,2016-01-01 00:00:00.000000,2026-01-01 00:00:00.000000,Face cachée
2,SS1,Station 1,2020-01-01 00:00:00.000000,2025-01-01 00:00:00.000000,Q1
3,SS2,Station 2,2020-01-01 00:00:00.000000,2025-01-01 00:00:00.000000,Q2
4,SS3,Station 3,2020-01-01 00:00:00.000000,2025-01-01 00:00:00.000000,Q3
5,S5,Station 54,2020-01-01 00:00:00.000000,2025-01-01 00:00:00.000000,Q5
6,A6,Station A56,2020-01-01 00:00:00.000000,2025-01-01 00:00:00.000000,A6
7,10000,Arr. Brompton,2016-01-01 00:00:00.000000,2021-01-01 00:00:00.000000,UdeS
8,12000,Station2,2016-01-01 00:00:00.000000,2021-01-01 00:00:00.000000,UdeS
9,13000,Station3,2016-01-01 00:00:00.000000,2021-01-01 00:00:00.000000,UdeS
10,14000,Station4,2016-01-01 00:00:00.000000,2021-01-01 00:00:00.000000,UdeS
11,15000,Station5,2016-01-01 00:00:00.000000,2021-01-01 00:00:00.000000,UdeS
12,87001,Lunaire1,2016-01-01 00:00:00.000000,2021-01-01 00:00:00.000000,Face cachée
13,87002,Lunaire2,2016-01-01 00:00:00.000000,2021-01-01 00:00:00.000000,Face cachée
14,87000,Lunaire,2016-01-01 00:00:00.000000,2026-01-01 00:00:00.000000,Face cachée
