#|sym|nom|term_add|fact_mul|dim_temps|dim_longueur|dim_masse|dim_electrique|dim_temperature|dim_mole|dim_lumiere|dim_radian|dim_steradian|dim_binaire
1|s|seconde|0|1|1|0|0|0|0|0|0|0|0|0
2|m|mètre|0|1|0|1|0|0|0|0|0|0|0|0
3|kg|kilogramme|0|1|0|0|1|0|0|0|0|0|0|0
4|A|ampère|0|1|0|0|0|1|0|0|0|0|0|0
5|K|kelvin|0|1|0|0|0|0|1|0|0|0|0|0
6|mol|mole|0|1|0|0|0|0|0|1|0|0|0|0
7|cd|candela|0|1|0|0|0|0|0|0|1|0|0|0
8|rad|radian|0|1|0|0|0|0|0|0|0|1|0|0
9|sr|stéradian|0|1|0|0|0|0|0|0|0|0|1|0
10|bit|binaire|0|1|0|0|0|0|0|0|0|0|0|1
11|h|heure|0|3600|1|0|0|0|0|0|0|0|0|0
12|a|année|0|31536000|1|0|0|0|0|0|0|0|0|0
13|μg m-3|microgramme par mètre cube|0|0.00000001|0|-3|1|0|0|0|0|0|0|0
14|ppc|parties par centaine|0|0.1|0|0|0|0|0|0|0|0|0|0
15|ppm|parties par million|0|0.00001|0|0|0|0|0|0|0|0|0|0
16|ppb|parties par milliard|0|0.00000001|0|0|0|0|0|0|0|0|0|0
17|Bq|becquerel|0|1|-1|0|0|0|0|0|0|0|0|0
18|C|coulomb|0|1|1|0|0|1|0|0|0|0|0|0
19|F|farad|0|1|4|-2|-1|2|0|0|0|0|0|0
20|Gy|gray|0|1|-2|2|0|0|0|0|0|0|0|0
21|H|henry|0|1|-2|2|1|-2|0|0|0|0|0|0
22|Hz|hertz|0|1|-1|0|0|0|0|0|0|0|0|0
23|J|joule|0|1|-2|2|1|0|0|0|0|0|0|0
24|kat|katal|0|1|-1|0|0|0|0|1|0|0|0|0
25|lm|lumen|0|1|0|0|0|0|0|0|1|0|1|0
26|lx|lux|0|1|0|-2|0|0|0|0|1|0|1|0
27|N|newton|0|1|-2|1|1|0|0|0|0|0|0|0
28|Ω|ohm|0|1|-3|2|1|-2|0|0|0|0|0|0
29|Pa|pascal|0|1|-2|-1|1|0|0|0|0|0|0|0
30|S|siemens|0|1|3|-2|-1|2|0|0|0|0|0|0
31|Sv|sievert|0|1|-2|2|0|0|0|0|0|0|0|0
32|T|tesla|0|1|-2|0|1|-1|0|0|0|0|0|0
33|V|volt|0|1|-3|2|1|-1|0|0|0|0|0|0
34|W|watt|0|1|-3|2|1|0|0|0|0|0|0|0
35|Wb|weber|0|1|-2|2|1|-1|0|0|0|0|0|0
